date,asset_ticker,asset_type,open,high,low,close,volume
2025-03-07,BTC,digital_currency,89915.02000000,91280.00000000,84608.27000000,86756.98000000,27137.20223020
2025-03-06,BTC,digital_currency,90607.73000000,92817.29000000,87790.50000000,89921.85000000,13302.87500105
2025-03-05,BTC,digital_currency,87247.93000000,91000.00000000,86329.22000000,90603.73000000,14900.93396554
2025-03-04,BTC,digital_currency,86161.09000000,88977.27000000,81444.00000000,87249.96000000,23130.37098654
2025-03-03,BTC,digital_currency,94265.47000000,94415.61000000,85007.01000000,86161.10000000,22691.67068614
2025-03-02,BTC,digital_currency,86018.82000000,95128.88000000,85003.35000000,94265.48000000,16751.22972996
2025-03-01,BTC,digital_currency,84297.74000000,86534.96000000,83772.54000000,86018.76000000,6852.54412620
2025-02-28,BTC,digital_currency,84627.50000000,85116.19000000,78167.81000000,84297.73000000,30755.74245077
2025-02-27,BTC,digital_currency,84111.77000000,86993.87000000,82554.11000000,84625.19000000,16836.55524727
2025-02-26,BTC,digital_currency,88583.17000000,89305.68000000,82111.12000000,84111.78000000,21568.55463119
2025-02-25,BTC,digital_currency,91509.88000000,92549.99000000,85836.18000000,88583.74000000,31587.91715546
2025-02-24,BTC,digital_currency,96266.23000000,96515.41000000,91300.00000000,91510.82000000,12644.04350070
2025-02-23,BTC,digital_currency,96578.49000000,96679.93000000,95243.91000000,96265.98000000,3787.84705335
2025-02-22,BTC,digital_currency,96157.03000000,96982.52000000,95767.95000000,96582.12000000,7324.02366243
2025-02-21,BTC,digital_currency,98347.20000000,99517.52000000,94721.92000000,96157.03000000,19298.23921958
2025-02-20,BTC,digital_currency,96632.03000000,98768.54000000,96419.07000000,98347.20000000,10582.84622768
2025-02-19,BTC,digital_currency,95612.97000000,96880.00000000,95000.01000000,96632.03000000,6945.44897339
2025-02-18,BTC,digital_currency,95781.80000000,96730.00000000,93333.00000000,95607.40000000,8867.39878431
2025-02-17,BTC,digital_currency,96119.88000000,97050.64000000,95200.00000000,95781.80000000,3533.01273263
2025-02-16,BTC,digital_currency,97596.54000000,97738.22000000,96057.68000000,96119.88000000,2174.29326885
2025-02-15,BTC,digital_currency,97507.94000000,97997.85000000,97225.01000000,97596.94000000,1626.51929078
2025-02-14,BTC,digital_currency,96625.29000000,98890.11000000,96268.56000000,97509.03000000,7744.67640105
2025-02-13,BTC,digital_currency,97864.28000000,98100.00000000,95220.00000000,96625.29000000,6803.60789270
2025-02-12,BTC,digital_currency,95770.95000000,98119.98000000,94066.92000000,97862.53000000,9078.50356189
2025-02-11,BTC,digital_currency,97451.66000000,98500.00000000,94831.07000000,95774.08000000,7737.05105717
2025-02-10,BTC,digital_currency,96481.47000000,98367.23000000,95257.20000000,97444.41000000,6375.72539123
2025-02-09,BTC,digital_currency,96476.24000000,97342.28000000,94730.67000000,96475.82000000,3417.87009701
2025-02-08,BTC,digital_currency,96536.93000000,96919.05000000,95682.33000000,96476.25000000,2972.45715184
2025-02-07,BTC,digital_currency,96575.24000000,100235.79000000,95614.96000000,96537.08000000,12171.82534167
2025-02-06,BTC,digital_currency,96635.62000000,99182.15000000,95674.96000000,96564.62000000,9168.94674634
2025-02-05,BTC,digital_currency,97795.06000000,99230.49000000,96161.01000000,96638.33000000,9308.59185883
2025-02-04,BTC,digital_currency,101460.15000000,101812.23000000,96145.76000000,97795.05000000,14168.70316610
2025-02-03,BTC,digital_currency,97676.53000000,102599.85000000,91178.01000000,101460.20000000,31328.72219576
2025-02-02,BTC,digital_currency,100623.88000000,101459.84000000,96179.00000000,97676.52000000,10366.65062753
2025-02-01,BTC,digital_currency,102414.05000000,102781.65000000,100250.00000000,100623.85000000,3390.25555744
2025-01-31,BTC,digital_currency,104742.63000000,106090.00000000,101506.00000000,102411.26000000,13313.68104489
2025-01-30,BTC,digital_currency,103747.25000000,106484.77000000,103289.74000000,104742.64000000,13061.34881233
2025-01-29,BTC,digital_currency,101290.01000000,104829.64000000,101275.60000000,103747.25000000,11401.29813651
2025-01-28,BTC,digital_currency,102063.92000000,103770.85000000,100213.80000000,101290.00000000,9485.46858120
2025-01-27,BTC,digital_currency,102565.28000000,103228.46000000,97715.03000000,102062.42000000,23646.33771582
2025-01-26,BTC,digital_currency,104729.92000000,105478.80000000,102452.24000000,102563.00000000,4575.36611531
2025-01-25,BTC,digital_currency,104866.13000000,105294.00000000,104104.00000000,104733.56000000,3404.85308291
2025-01-24,BTC,digital_currency,103926.36000000,107200.00000000,102751.92000000,104850.27000000,12921.99361413
2025-01-23,BTC,digital_currency,103659.60000000,106870.87000000,101200.01000000,103926.36000000,25064.86499945
2025-01-22,BTC,digital_currency,106159.27000000,106431.34000000,103100.00000000,103667.11000000,10730.01896200
2025-01-21,BTC,digital_currency,102145.42000000,107291.10000000,100051.00000000,106159.26000000,19411.23488978
2025-01-20,BTC,digital_currency,101217.78000000,109358.01000000,99416.27000000,102145.43000000,32342.18311338
2025-01-19,BTC,digital_currency,104435.01000000,106314.44000000,99518.00000000,101211.13000000,13312.63685598
2025-01-18,BTC,digital_currency,104107.00000000,104933.15000000,102233.45000000,104435.00000000,7835.29944710
2025-01-17,BTC,digital_currency,99981.46000000,105970.00000000,99937.81000000,104107.00000000,20518.30949325
2025-01-16,BTC,digital_currency,100504.27000000,100880.00000000,97277.58000000,99981.78000000,12312.37366854
2025-01-15,BTC,digital_currency,96534.97000000,100716.45000000,96400.00000000,100510.23000000,13600.98371987
2025-01-14,BTC,digital_currency,94507.35000000,97353.29000000,94311.36000000,96534.96000000,11210.73131611
2025-01-13,BTC,digital_currency,94507.24000000,95900.00000000,89028.64000000,94506.45000000,13094.86359481
2025-01-12,BTC,digital_currency,94569.91000000,95383.84000000,93670.30000000,94509.62000000,2025.81612971
2025-01-11,BTC,digital_currency,94701.48000000,94983.65000000,93804.05000000,94565.02000000,2638.69956767
2025-01-10,BTC,digital_currency,92547.44000000,95862.92000000,92209.25000000,94701.18000000,12634.03407823
2025-01-09,BTC,digital_currency,95033.18000000,95363.26000000,91187.00000000,92547.44000000,9712.37853215
2025-01-08,BTC,digital_currency,96941.98000000,97254.35000000,92500.00000000,95036.63000000,14182.29739458
2025-01-07,BTC,digital_currency,102279.41000000,102735.99000000,96105.11000000,96941.98000000,16587.28692230
2025-01-06,BTC,digital_currency,98347.65000000,102500.00000000,97900.00000000,102279.41000000,15173.44718169
2025-01-05,BTC,digital_currency,98209.85000000,98814.00000000,97250.00000000,98345.33000000,2377.92175899
2025-01-04,BTC,digital_currency,98139.85000000,98761.02000000,97516.65000000,98209.85000000,2742.08960614
2025-01-03,BTC,digital_currency,96905.48000000,98969.92000000,96016.63000000,98136.51000000,9021.88538159
2025-01-02,BTC,digital_currency,94383.59000000,97776.99000000,94177.00000000,96903.19000000,10912.47383962
2025-01-01,BTC,digital_currency,93347.59000000,94960.91000000,92743.63000000,94383.59000000,6871.73848196
